ID,First Name,Last Name,Scrapped Name,Country,Birthdate,Died,Batting style,Bowling style,Generic_ID
512191,Fakhar,Zaman,Fakhar Zaman,Pakistan,10-04-90,Alive,Left-hand bat,Slow left-arm orthodox,1
1205559,Mohammad,Haris,Mohammad Haris,Pakistan,2001-03-30T00:00Z,Alive,Right-hand bat,Right-arm offbreak,1
372116,Temba,Bavuma,T Bavuma,South Africa,1990-05-17T00:00Z,Alive,Right-hand bat,Right-arm medium,1
379143,Quinton,de,Q de Kock,South Africa,1992-12-17T00:00Z,Alive,Left-hand bat,,2
318845,Rilee,Rossouw,RR Rossouw,South Africa,1989-10-09T00:00Z,Alive,Left-hand bat,Right-arm offbreak,3
600498,Aiden,Markram,AK Markram,South Africa,1994-10-04T00:00Z,Alive,Right-hand bat,Right-arm offbreak,4
436757,Heinrich,Klaasen,H Klaasen,South Africa,1991-07-30T00:00Z,Alive,Right-hand bat,Right-arm offbreak,5
595978,Tristan,Stubbs,T Stubbs,South Africa,2000-08-14T00:00Z,Alive,Right-hand bat,Right-arm offbreak,6
265564,Wayne,Parnell,WD Parnell,South Africa,1989-07-30T00:00Z,Alive,Left-hand bat,Left-arm medium-fast,7
550215,Kagiso,Rabada,K Rabada,South Africa,1995-05-25T00:00Z,Alive,Left-hand bat,Right-arm fast,8
481979,Anrich,Nortje,A Nortje,South Africa,1993-11-16T00:00Z,Alive,Right-hand bat,Right-arm fast,9
542023,Lungi,Ngidi,L Ngidi,South Africa,1996-03-29T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,10
379145,Tabraiz,Shamsi,T Shamsi,South Africa,1990-02-18T00:00Z,Alive,Right-hand bat,Left-arm wrist-spin,11
629058,Najmul,Hossain,Nazmul Hossain Shanto,Bangladesh,1998-08-25T00:00Z,Alive,Left-hand bat,Right-arm offbreak,1
536936,Liton,Das,Liton Das,Bangladesh,13-10-94,Alive,Right-hand bat,Right-arm medium,2
436677,Soumya,Sarkar,Soumya Sarkar,Bangladesh,25-02-93,Alive,Left-hand bat,Right-arm medium-fast,3
56143,Shakib,Al,Shakib Al Hasan,Bangladesh,24-03-87,Alive,Left-hand bat,Slow left-arm orthodox,4
935995,Afif,Hossain,Afif Hossain,Bangladesh,22-09-99,Alive,Left-hand bat,Right-arm offbreak,5
550133,Mosaddek,Hossain,Mosaddek Hossain,Bangladesh,10-12-95,Alive,Right-hand bat,Right-arm offbreak,6
410765,Nurul,Hasan,Nurul Hasan,Bangladesh,21-11-93,Alive,Right-hand bat,Right-arm medium,7
538506,Taskin,Ahmed,Taskin Ahmed,Bangladesh,03-04-95,Alive,Left-hand bat,Right-arm fast,8
348049,Nasum,Ahmed,Nasum Ahmed,Bangladesh,05-12-94,Alive,Left-hand bat,Slow left-arm orthodox,9
1001587,Mustafizur,Rahman,Mustafizur Rahman,Bangladesh,13-06-91,Alive,Right-hand bat,Right-arm offbreak,10
932355,Ebadot,Hossain,Ebadat Hossain,Bangladesh,1994-01-07T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,11
670013,Fabian,Allen,FH Allen,New Zealand,1995-05-07T00:00Z,Alive,Right-hand bat,Slow left-arm orthodox,1
379140,Devon,Conway,DP Conway,New Zealand,1991-07-08T00:00Z,Alive,Left-hand bat,Right-arm medium,2
277906,Kane,Williamson,KS Williamson,New Zealand,1990-08-08T00:00Z,Alive,Right-hand bat,Right-arm offbreak,3
823509,Glenn,Phillips,GD Phillips,New Zealand,1996-12-06T00:00Z,Alive,Right-hand bat,Right-arm offbreak,4
381743,Daryl,Mitchell,DJ Mitchell,New Zealand,1991-05-20T00:00Z,Alive,Right-hand bat,Right-arm medium,5
355269,James,Neesham,JDS Neesham,New Zealand,1990-09-17T00:00Z,Alive,Left-hand bat,Right-arm medium-fast,6
502714,Mitchell,Santner,MJ Santner,New Zealand,1992-02-05T00:00Z,Alive,Left-hand bat,Slow left-arm orthodox,7
232364,Tim,Southee,TG Southee,New Zealand,1988-12-11T00:00Z,Alive,Right-hand bat,Right-arm medium-fast,8
559066,Ish,Sodhi,IS Sodhi,New Zealand,1992-10-31T00:00Z,Alive,Right-hand bat,Legbreak,9
493773,Lockie,Ferguson,LH Ferguson,New Zealand,1991-06-13T00:00Z,Alive,Right-hand bat,Right-arm fast,10
277912,Trent,Boult,TA Boult,New Zealand,1989-07-22T00:00Z,Alive,Right-hand bat,Left-arm fast-medium,11
308967,Jos,Buttler,JC Buttler,England,1990-09-08T00:00Z,Alive,Right-hand bat,,1
249866,Alex,Hales,AD Hales,England,1989-01-03T00:00Z,Alive,Right-hand bat,Right-arm medium,2
669365,Phil,Salt,PD Salt,England,1996-08-28T00:00Z,Alive,Right-hand bat,Right-arm offbreak,3
311158,Ben,Stokes,BA Stokes,England,1991-06-04T00:00Z,Alive,Left-hand bat,Right-arm fast-medium,4
911707,Harry,Brook,HC Brook,England,1999-02-22T00:00Z,Alive,Right-hand bat,Right-arm medium,5
8917,Moeen,Ali,MM Ali,England,1987-06-18T00:00Z,Alive,Left-hand bat,Right-arm offbreak,6
403902,Liam,Livingstone,LS Livingstone,England,1993-08-04T00:00Z,Alive,Right-hand bat,Legbreak,7
662973,Sam,Curran,SM Curran,England,1998-06-03T00:00Z,Alive,Left-hand bat,Left-arm medium-fast,8
247235,Chris,Woakes,CR Woakes,England,1989-03-02T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,9
288992,Chris,Jordan,CJ Jordan,England,1988-10-04T00:00Z,Alive,Right-hand bat,Right-arm fast-medium,10
244497,Adil,Rashid,AU Rashid,England,1988-02-17T00:00Z,Alive,Right-hand bat,Legbreak,11
